0x32	0x0032	#	DIGIT TWO
0x33	0x0033	#	DIGIT THREE
0x34	0x0034	#	DIGIT FOUR
0x35	0x0035	#	DIGIT FIVE
0x36	0x0036	#	DIGIT SIX
0x37	0x0037	#	DIGIT SEVEN
0x38	0x0038	#	DIGIT EIGHT
0x39	0x0039	#	DIGIT NINE
0x3A	0x003A	#	COLON
0x3B	0x003B	#	SEMICOLON
0x3C	0x1792	#	KHMER LETTER THO
0x3D	0x1793	#	KHMER LETTER NO
0x3E	0x1794	#	KHMER LETTER BA (PA?)
0x3F	0x003F	#	QUESTION MARK
0x40	0x1795	#	KHMER LETTER PHA (BHA?)
0x41	0x1796	#	KHMER LETTER PO
0x42	0x1797	#	KHMER LETTER PHO
0x43	0x1798	#	KHMER LETTER MO
0x44	0x1799	#	KHMER LETTER YO
0x45	0x179A	#	KHMER LETTER RO
0x46	0x179B	#	KHMER LETTER LO
0x47	0x17A1	#	KHMER LETTER LA
0x49	0x179C	#	KHMER LETTER VO
0x4A	0x179F	#	KHMER LETTER SA
0x4B	0x179E	#	KHMER LETTER SSO
0x4C	0x179D	#	KHMER LETTER SHA
0x4D	0x17A0	#	KHMER LETTER HA
0x4E	0x17CC	#	KHMER SIGN ROBAT (MAI )
0x4F	0x17D0	#	KHMER SIGN SAMYOK SANNYA (cmp thai MAI HAN-AKAT; lao MAI KAN)
0x50	0x17B6	#	KHMER VOWEL SIGN AA
0x51	0x17B7	#	KHMER VOWEL SIGN I
0x52	0x17B8	#	KHMER VOWEL SIGN II
0x53	0x17BB	#	KHMER VOWEL SIGN U
0x54	0x17BC	#	KHMER VOWEL SIGN UU
0x55	0x17B9	#	KHMER VOWEL SIGN Y
0x56	0x17BA	#	KHMER VOWEL SIGN YY
0x57	0x17C9	#	KHMER SIGN MUUSIKATOAN (MAI ) ((candra e/a))
0x58	0x17C1	#	KHMER VOWEL SIGN E
0x59	0x17C2	#	KHMER VOWEL SIGN AE   ((17C1+17D0))
0x5A	0x17C3	#	KHMER VOWEL SIGN AI
0x5B	0x17CA	#	KHMER SIGN TRIISAP (MAI ) ((candra o))
#0x5C	0x17DF	#	unallocated code point; AU LENGHT MARK (candra o)
0x5D	0x17C4	#	KHMER VOWEL SIGN OO   17C1+17B6
0x5E	0x17C5	#	KHMER VOWEL SIGN AU   17C1+[17DF]  with AU LENGHT MARK (candra o)
0x5F	0x17D2	#	KHMER SIGN COENG (VIRAMA)  
0x60	0x17CB	#	KHMER SIGN BANTOC (MAI ) (bantak) (final virama)
0x61	0x0061	#	LATIN SMALL LETTER A
0x62	0x0062	#	LATIN SMALL LETTER B
0x63	0x0063	#	LATIN SMALL LETTER C
0x64	0x0064	#	LATIN SMALL LETTER D
0x65	0x0065	#	LATIN SMALL LETTER E
0x66	0x0066	#	LATIN SMALL LETTER F
0x67	0x0067	#	LATIN SMALL LETTER G
0x68	0x0068	#	LATIN SMALL LETTER H
0x69	0x0069	#	LATIN SMALL LETTER I
0x6A	0x006A	#	LATIN SMALL LETTER J
0x6B	0x006B	#	LATIN SMALL LETTER K
0x6C	0x006C	#	LATIN SMALL LETTER L
0x6D	0x006D	#	LATIN SMALL LETTER M
